date_scrapped,category,page,url,company_name,zipcode,street_address,house_number,city,website,email,phone_number
2017-01-21,Aannemers,1,http://bedrijven.xyz/profiel/001-amsterdamse-all-round-service,001 Amsterdamse All-Round Service,1339GL,Chartreusestraat 30,,Almere,http://www.all-roundservice.nl,"info@all-roundservice.nl,info@all-roundservice.nl",+31 (0)20 3372221
2017-01-21,Aannemers,1,http://bedrijven.xyz/profiel/020bouw,020Bouw,1046BD,Poortland 44,,Amsterdam,,,
2017-01-21,Aannemers,1,http://bedrijven.xyz/profiel/070bouw-bv,070Bouw B.V.,2491BD,Neckar 8,,Den Haag,http://www.070bouw.nl,,+31 (0)70 7533015
2017-01-21,Aannemers,1,http://bedrijven.xyz/profiel/1-van-1-werken,1 Van 1 Werken,6581VM,Akkersleep 28,,Malden,http://www.1van1.eu,,+31 (0)24 3586095
2017-01-21,Aannemers,1,http://bedrijven.xyz/profiel/100-kleur,100% Kleur,3732AB,Groenekanseweg 89,,De Bilt,,,
2017-01-21,Aannemers,1,http://bedrijven.xyz/profiel/112-service,112 service,2717BM,Duke Ellingtonrode 8,,Zoetermeer,,,
2017-01-21,Aannemers,1,http://bedrijven.xyz/profiel/123bouwplan,123bouwplan,6543VJ,Molenweg 182,,Nijmegen,http://www.123bouwplan.nl,"info@123bouwplan.nl,info@123bouwplan.nl",+31 (0)24 3774084
2017-01-21,Aannemers,1,http://bedrijven.xyz/profiel/1976-service,1976 Service,2691EL,Ahornplein 11,,'s-Gravenzande,,,
2017-01-21,Aannemers,1,http://bedrijven.xyz/profiel/1kr8,1kr8,3522HG,Jutfaseweg 92utrecht,,Utrecht,,,
2017-01-21,Aannemers,1,http://bedrijven.xyz/profiel/2-be-re-build,2-BE-RE-BUILD,2902VB,Frederik van Eedenplaats 89,,Capelle aan den IJssel,,,
2017-01-21,Aannemers,1,http://bedrijven.xyz/profiel/2-fix,2-FIX,1077JN,Beethovenstraat 90a 3k,,Amsterdam,http://www.2-fix.com,,
2017-01-21,Aannemers,1,http://bedrijven.xyz/profiel/20tree,20Tree,2061XD,Veen en Duin 105,,Bloemendaal,,,
